"id","disease","topic","question","answer"
"26","Asma Bronkial","Gejala","Bagaimana tanda-tanda seseorang terkena asma?","Gejala asma bronkial meliputi sesak napas, napas berbunyi atau mengi (wheezing), batuk terutama malam dan pagi hari, rasa dada terasa berat atau sesak, dan napas pendek saat beraktivitas. Gejala dapat memburuk saat terkena pemicu seperti debu, asap rokok, udara dingin, atau olahraga berat."
"27","Asma Bronkial","Gejala","Ciri-ciri asma itu seperti apa ya?","Gejala asma bronkial meliputi sesak napas, napas berbunyi atau mengi (wheezing), batuk terutama malam dan pagi hari, rasa dada terasa berat atau sesak, dan napas pendek saat beraktivitas. Gejala dapat memburuk saat terkena pemicu seperti debu, asap rokok, udara dingin, atau olahraga berat."
"28","Asma Bronkial","Gejala","Apa yang dirasakan saat asma kambuh?","Gejala asma bronkial meliputi sesak napas, napas berbunyi atau mengi (wheezing), batuk terutama malam dan pagi hari, rasa dada terasa berat atau sesak, dan napas pendek saat beraktivitas. Gejala dapat memburuk saat terkena pemicu seperti debu, asap rokok, udara dingin, atau olahraga berat."
"29","Asma Bronkial","Pencegahan","Bagaimana cara mencegah asma agar tidak kambuh?","Pencegahan serangan asma meliputi menghindari pemicu seperti asap rokok, debu, bulu hewan, dan polusi udara; menggunakan masker saat berada di lingkungan berdebu; menjaga kebersihan rumah; menghindari udara dingin ekstrem; rutin memeriksakan diri ke dokter; serta selalu membawa inhaler pereda darurat."
"30","Asma Bronkial","Pencegahan","Apa yang harus dihindari penderita asma supaya tidak kambuh?","Pencegahan serangan asma meliputi menghindari pemicu seperti asap rokok, debu, bulu hewan, dan polusi udara; menggunakan masker saat berada di lingkungan berdebu; menjaga kebersihan rumah; menghindari udara dingin ekstrem; rutin memeriksakan diri ke dokter; serta selalu membawa inhaler pereda darurat."
"31","Asma Bronkial","Pencegahan","Cara hidup sehat untuk penderita asma itu bagaimana?","Pencegahan serangan asma meliputi menghindari pemicu seperti asap rokok, debu, bulu hewan, dan polusi udara; menggunakan masker saat berada di lingkungan berdebu; menjaga kebersihan rumah; menghindari udara dingin ekstrem; rutin memeriksakan diri ke dokter; serta selalu membawa inhaler pereda darurat."
"32","Asma Bronkial","Pencegahan","Gimana supaya asma tidak sering kumat?","Pencegahan serangan asma meliputi menghindari pemicu seperti asap rokok, debu, bulu hewan, dan polusi udara; menggunakan masker saat berada di lingkungan berdebu; menjaga kebersihan rumah; menghindari udara dingin ekstrem; rutin memeriksakan diri ke dokter; serta selalu membawa inhaler pereda darurat."
"33","Asma Bronkial","Pengobatan","Bagaimana cara mengobati asma bronkial?","Pengobatan asma terdiri dari dua jenis: obat pelega (reliever) seperti salbutamol inhaler untuk serangan akut, dan obat pengontrol (controller) seperti kortikosteroid inhaler untuk penggunaan jangka panjang. Pada serangan berat, perlu penanganan medis segera di rumah sakit dengan nebulisasi dan oksigen."
"34","Asma Bronkial","Pengobatan","Obat apa yang biasa dipakai untuk mengatasi asma?","Pengobatan asma terdiri dari dua jenis: obat pelega (reliever) seperti salbutamol inhaler untuk serangan akut, dan obat pengontrol (controller) seperti kortikosteroid inhaler untuk penggunaan jangka panjang. Pada serangan berat, perlu penanganan medis segera di rumah sakit dengan nebulisasi dan oksigen."
"35","Asma Bronkial","Pengobatan","Penanganan asma yang tepat itu seperti apa?","Pengobatan asma terdiri dari dua jenis: obat pelega (reliever) seperti salbutamol inhaler untuk serangan akut, dan obat pengontrol (controller) seperti kortikosteroid inhaler untuk penggunaan jangka panjang. Pada serangan berat, perlu penanganan medis segera di rumah sakit dengan nebulisasi dan oksigen."
"36","Asma Bronkial","Pengobatan","Apa yang harus dilakukan saat asma kambuh?","Pengobatan asma terdiri dari dua jenis: obat pelega (reliever) seperti salbutamol inhaler untuk serangan akut, dan obat pengontrol (controller) seperti kortikosteroid inhaler untuk penggunaan jangka panjang. Pada serangan berat, perlu penanganan medis segera di rumah sakit dengan nebulisasi dan oksigen."
"37","Demam Berdarah (DBD)","Gejala","Apa saja gejala penyakit demam berdarah dengue (DBD)?","Gejala DBD antara lain demam tinggi mendadak (38–40°C) selama 2–7 hari, nyeri kepala, nyeri di belakang bola mata, nyeri otot dan sendi, mual muntah, munculnya bintik-bintik merah (petekie) di kulit, dan penurunan trombosit secara drastis. Waspadai jika muncul tanda perdarahan seperti mimisan atau gusi berdarah."
"38","Demam Berdarah (DBD)","Gejala","Bagaimana tanda-tanda seseorang terkena DBD?","Gejala DBD antara lain demam tinggi mendadak (38–40°C) selama 2–7 hari, nyeri kepala, nyeri di belakang bola mata, nyeri otot dan sendi, mual muntah, munculnya bintik-bintik merah (petekie) di kulit, dan penurunan trombosit secara drastis. Waspadai jika muncul tanda perdarahan seperti mimisan atau gusi berdarah."
"39","Demam Berdarah (DBD)","Gejala","Ciri-ciri demam berdarah itu seperti apa ya?","Gejala DBD antara lain demam tinggi mendadak (38–40°C) selama 2–7 hari, nyeri kepala, nyeri di belakang bola mata, nyeri otot dan sendi, mual muntah, munculnya bintik-bintik merah (petekie) di kulit, dan penurunan trombosit secara drastis. Waspadai jika muncul tanda perdarahan seperti mimisan atau gusi berdarah."
"40","Demam Berdarah (DBD)","Gejala","Apa yang membedakan demam biasa dengan demam berdarah?","Gejala DBD antara lain demam tinggi mendadak (38–40°C) selama 2–7 hari, nyeri kepala, nyeri di belakang bola mata, nyeri otot dan sendi, mual muntah, munculnya bintik-bintik merah (petekie) di kulit, dan penurunan trombosit secara drastis. Waspadai jika muncul tanda perdarahan seperti mimisan atau gusi berdarah."
"41","Demam Berdarah (DBD)","Pencegahan","Bagaimana cara mencegah penyakit demam berdarah?","Pencegahan DBD dilakukan melalui program 3M Plus: Menguras tempat penampungan air secara rutin, Menutup tempat penampungan air, Mendaur ulang atau mengubur barang bekas. Tambahan: menggunakan losion antinyamuk, memasang kelambu, fogging di lingkungan endemis, dan melaporkan ke puskesmas jika ada kasus DBD di lingkungan sekitar."
"42","Demam Berdarah (DBD)","Pencegahan","Apa yang bisa dilakukan untuk menghindari DBD?","Pencegahan DBD dilakukan melalui program 3M Plus: Menguras tempat penampungan air secara rutin, Menutup tempat penampungan air, Mendaur ulang atau mengubur barang bekas. Tambahan: menggunakan losion antinyamuk, memasang kelambu, fogging di lingkungan endemis, dan melaporkan ke puskesmas jika ada kasus DBD di lingkungan sekitar."
"43","Demam Berdarah (DBD)","Pencegahan","Cara supaya tidak kena demam berdarah itu gimana?","Pencegahan DBD dilakukan melalui program 3M Plus: Menguras tempat penampungan air secara rutin, Menutup tempat penampungan air, Mendaur ulang atau mengubur barang bekas. Tambahan: menggunakan losion antinyamuk, memasang kelambu, fogging di lingkungan endemis, dan melaporkan ke puskesmas jika ada kasus DBD di lingkungan sekitar."
"44","Demam Berdarah (DBD)","Pencegahan","Langkah apa saja untuk mencegah nyamuk Aedes aegypti?","Pencegahan DBD dilakukan melalui program 3M Plus: Menguras tempat penampungan air secara rutin, Menutup tempat penampungan air, Mendaur ulang atau mengubur barang bekas. Tambahan: menggunakan losion antinyamuk, memasang kelambu, fogging di lingkungan endemis, dan melaporkan ke puskesmas jika ada kasus DBD di lingkungan sekitar."
"45","Demam Berdarah (DBD)","Pengobatan","Bagaimana cara mengobati demam berdarah?","Tidak ada obat antivirus khusus untuk DBD. Pengobatan bersifat suportif: istirahat total, minum cairan yang cukup (air putih, oralit, jus jambu), kompres demam, dan paracetamol untuk menurunkan demam (hindari aspirin dan ibuprofen). Jika trombosit di bawah 100.000/µL atau ada tanda perdarahan, pasien harus dirawat di rumah sakit."
"46","Demam Berdarah (DBD)","Pengobatan","Apa penanganan yang benar untuk pasien DBD?","Tidak ada obat antivirus khusus untuk DBD. Pengobatan bersifat suportif: istirahat total, minum cairan yang cukup (air putih, oralit, jus jambu), kompres demam, dan paracetamol untuk menurunkan demam (hindari aspirin dan ibuprofen). Jika trombosit di bawah 100.000/µL atau ada tanda perdarahan, pasien harus dirawat di rumah sakit."
"47","Demam Berdarah (DBD)","Pengobatan","Obat apa yang diberikan untuk penderita demam berdarah?","Tidak ada obat antivirus khusus untuk DBD. Pengobatan bersifat suportif: istirahat total, minum cairan yang cukup (air putih, oralit, jus jambu), kompres demam, dan paracetamol untuk menurunkan demam (hindari aspirin dan ibuprofen). Jika trombosit di bawah 100.000/µL atau ada tanda perdarahan, pasien harus dirawat di rumah sakit."
"48","Demam Berdarah (DBD)","Pengobatan","Apa yang harus dilakukan jika anak terkena DBD?","Tidak ada obat antivirus khusus untuk DBD. Pengobatan bersifat suportif: istirahat total, minum cairan yang cukup (air putih, oralit, jus jambu), kompres demam, dan paracetamol untuk menurunkan demam (hindari aspirin dan ibuprofen). Jika trombosit di bawah 100.000/µL atau ada tanda perdarahan, pasien harus dirawat di rumah sakit."
"49","Malaria","Gejala","Apa saja gejala penyakit malaria?","Gejala malaria meliputi demam yang berulang dengan pola tertentu (setiap 2–3 hari), menggigil hebat, berkeringat banyak setelah demam, sakit kepala, nyeri otot, mual muntah, dan rasa sangat lelah. Pada kasus berat dapat terjadi anemia, ikterus (kuning), dan gangguan kesadaran."
"50","Malaria","Gejala","Bagaimana tanda-tanda orang yang terkena malaria?","Gejala malaria meliputi demam yang berulang dengan pola tertentu (setiap 2–3 hari), menggigil hebat, berkeringat banyak setelah demam, sakit kepala, nyeri otot, mual muntah, dan rasa sangat lelah. Pada kasus berat dapat terjadi anemia, ikterus (kuning), dan gangguan kesadaran."
"51","Malaria","Gejala","Ciri-ciri malaria itu seperti apa ya?","Gejala malaria meliputi demam yang berulang dengan pola tertentu (setiap 2–3 hari), menggigil hebat, berkeringat banyak setelah demam, sakit kepala, nyeri otot, mual muntah, dan rasa sangat lelah. Pada kasus berat dapat terjadi anemia, ikterus (kuning), dan gangguan kesadaran."
"52","Malaria","Gejala","Apa yang dirasakan ketika terinfeksi malaria?","Gejala malaria meliputi demam yang berulang dengan pola tertentu (setiap 2–3 hari), menggigil hebat, berkeringat banyak setelah demam, sakit kepala, nyeri otot, mual muntah, dan rasa sangat lelah. Pada kasus berat dapat terjadi anemia, ikterus (kuning), dan gangguan kesadaran."
"53","Malaria","Pencegahan","Bagaimana cara mencegah penyakit malaria?","Pencegahan malaria meliputi penggunaan kelambu berinsektisida saat tidur, menggunakan losion anti nyamuk (DEET), memakai pakaian lengan panjang di malam hari, memasang kawat nyamuk di rumah, drainase lingkungan yang baik, serta minum obat kemoprofilaksis (seperti doksisiklin atau klorokuin) jika bepergian ke daerah endemis malaria."
"54","Malaria","Pencegahan","Apa yang harus dilakukan agar tidak kena malaria?","Pencegahan malaria meliputi penggunaan kelambu berinsektisida saat tidur, menggunakan losion anti nyamuk (DEET), memakai pakaian lengan panjang di malam hari, memasang kawat nyamuk di rumah, drainase lingkungan yang baik, serta minum obat kemoprofilaksis (seperti doksisiklin atau klorokuin) jika bepergian ke daerah endemis malaria."
"55","Malaria","Pencegahan","Tips mencegah malaria saat bepergian ke daerah endemis?","Pencegahan malaria meliputi penggunaan kelambu berinsektisida saat tidur, menggunakan losion anti nyamuk (DEET), memakai pakaian lengan panjang di malam hari, memasang kawat nyamuk di rumah, drainase lingkungan yang baik, serta minum obat kemoprofilaksis (seperti doksisiklin atau klorokuin) jika bepergian ke daerah endemis malaria."
"56","Malaria","Pencegahan","Cara perlindungan dari gigitan nyamuk malaria itu bagaimana?","Pencegahan malaria meliputi penggunaan kelambu berinsektisida saat tidur, menggunakan losion anti nyamuk (DEET), memakai pakaian lengan panjang di malam hari, memasang kawat nyamuk di rumah, drainase lingkungan yang baik, serta minum obat kemoprofilaksis (seperti doksisiklin atau klorokuin) jika bepergian ke daerah endemis malaria."
"57","Malaria","Pengobatan","Bagaimana cara mengobati malaria?","Pengobatan malaria menggunakan obat antimalaria yang ditentukan berdasarkan jenis Plasmodium penyebabnya. Untuk Plasmodium falciparum digunakan Artemisinin-based Combination Therapy (ACT), sedangkan untuk P. vivax digunakan klorokuin ditambah primakuin. Pengobatan harus tuntas sesuai dosis yang diresepkan dokter untuk mencegah resistensi."
"58","Malaria","Pengobatan","Obat apa yang dipakai untuk mengatasi malaria?","Pengobatan malaria menggunakan obat antimalaria yang ditentukan berdasarkan jenis Plasmodium penyebabnya. Untuk Plasmodium falciparum digunakan Artemisinin-based Combination Therapy (ACT), sedangkan untuk P. vivax digunakan klorokuin ditambah primakuin. Pengobatan harus tuntas sesuai dosis yang diresepkan dokter untuk mencegah resistensi."
"59","Malaria","Pengobatan","Penanganan malaria yang tepat itu seperti apa?","Pengobatan malaria menggunakan obat antimalaria yang ditentukan berdasarkan jenis Plasmodium penyebabnya. Untuk Plasmodium falciparum digunakan Artemisinin-based Combination Therapy (ACT), sedangkan untuk P. vivax digunakan klorokuin ditambah primakuin. Pengobatan harus tuntas sesuai dosis yang diresepkan dokter untuk mencegah resistensi."
"60","Malaria","Pengobatan","Apa yang harus dilakukan jika didiagnosis malaria?","Pengobatan malaria menggunakan obat antimalaria yang ditentukan berdasarkan jenis Plasmodium penyebabnya. Untuk Plasmodium falciparum digunakan Artemisinin-based Combination Therapy (ACT), sedangkan untuk P. vivax digunakan klorokuin ditambah primakuin. Pengobatan harus tuntas sesuai dosis yang diresepkan dokter untuk mencegah resistensi."
"61","Pneumonia (Paru-Paru Basah)","Gejala","Apa saja gejala pneumonia atau paru-paru basah?","Gejala pneumonia meliputi demam tinggi, batuk berdahak (bisa berwarna kuning, hijau, atau berdarah), sesak napas, nyeri dada saat bernapas atau batuk, napas cepat, menggigil, kelelahan, dan pada lansia dapat terjadi kebingungan. Pada bayi, gejalanya bisa berupa napas cepat dan cuping hidung kembang-kempis."
"62","Pneumonia (Paru-Paru Basah)","Gejala","Bagaimana tanda-tanda seseorang terkena pneumonia?","Gejala pneumonia meliputi demam tinggi, batuk berdahak (bisa berwarna kuning, hijau, atau berdarah), sesak napas, nyeri dada saat bernapas atau batuk, napas cepat, menggigil, kelelahan, dan pada lansia dapat terjadi kebingungan. Pada bayi, gejalanya bisa berupa napas cepat dan cuping hidung kembang-kempis."
"63","Pneumonia (Paru-Paru Basah)","Gejala","Ciri-ciri paru-paru basah itu seperti apa?","Gejala pneumonia meliputi demam tinggi, batuk berdahak (bisa berwarna kuning, hijau, atau berdarah), sesak napas, nyeri dada saat bernapas atau batuk, napas cepat, menggigil, kelelahan, dan pada lansia dapat terjadi kebingungan. Pada bayi, gejalanya bisa berupa napas cepat dan cuping hidung kembang-kempis."
"64","Pneumonia (Paru-Paru Basah)","Gejala","Apa yang membedakan pneumonia dengan batuk biasa?","Gejala pneumonia meliputi demam tinggi, batuk berdahak (bisa berwarna kuning, hijau, atau berdarah), sesak napas, nyeri dada saat bernapas atau batuk, napas cepat, menggigil, kelelahan, dan pada lansia dapat terjadi kebingungan. Pada bayi, gejalanya bisa berupa napas cepat dan cuping hidung kembang-kempis."
"65","Pneumonia (Paru-Paru Basah)","Pencegahan","Bagaimana cara mencegah pneumonia atau paru-paru basah?","Pencegahan pneumonia meliputi vaksinasi (vaksin pneumokokus/PCV dan vaksin influenza), tidak merokok, menjaga kebersihan tangan, meningkatkan daya tahan tubuh dengan nutrisi bergizi dan olahraga teratur, menghindari kontak dekat dengan penderita infeksi saluran napas, serta memastikan ventilasi rumah yang baik."
"66","Pneumonia (Paru-Paru Basah)","Pencegahan","Apa yang bisa dilakukan agar tidak kena pneumonia?","Pencegahan pneumonia meliputi vaksinasi (vaksin pneumokokus/PCV dan vaksin influenza), tidak merokok, menjaga kebersihan tangan, meningkatkan daya tahan tubuh dengan nutrisi bergizi dan olahraga teratur, menghindari kontak dekat dengan penderita infeksi saluran napas, serta memastikan ventilasi rumah yang baik."
"67","Pneumonia (Paru-Paru Basah)","Pencegahan","Cara melindungi diri dari penyakit paru-paru basah itu gimana?","Pencegahan pneumonia meliputi vaksinasi (vaksin pneumokokus/PCV dan vaksin influenza), tidak merokok, menjaga kebersihan tangan, meningkatkan daya tahan tubuh dengan nutrisi bergizi dan olahraga teratur, menghindari kontak dekat dengan penderita infeksi saluran napas, serta memastikan ventilasi rumah yang baik."
"68","Pneumonia (Paru-Paru Basah)","Pencegahan","Apakah ada vaksin untuk mencegah pneumonia?","Pencegahan pneumonia meliputi vaksinasi (vaksin pneumokokus/PCV dan vaksin influenza), tidak merokok, menjaga kebersihan tangan, meningkatkan daya tahan tubuh dengan nutrisi bergizi dan olahraga teratur, menghindari kontak dekat dengan penderita infeksi saluran napas, serta memastikan ventilasi rumah yang baik."
"69","Pneumonia (Paru-Paru Basah)","Pengobatan","Bagaimana cara mengobati pneumonia?","Pengobatan pneumonia bakteri menggunakan antibiotik (seperti amoksisilin, azitromisin, atau sefalosporin) sesuai resep dokter. Pneumonia virus tidak merespons antibiotik. Penanganan suportif meliputi istirahat, banyak minum, dan obat pereda demam. Rawat inap diperlukan jika sesak napas berat, saturasi oksigen rendah, atau pasien tergolong kelompok berisiko tinggi."
"70","Pneumonia (Paru-Paru Basah)","Pengobatan","Obat apa yang digunakan untuk mengatasi paru-paru basah?","Pengobatan pneumonia bakteri menggunakan antibiotik (seperti amoksisilin, azitromisin, atau sefalosporin) sesuai resep dokter. Pneumonia virus tidak merespons antibiotik. Penanganan suportif meliputi istirahat, banyak minum, dan obat pereda demam. Rawat inap diperlukan jika sesak napas berat, saturasi oksigen rendah, atau pasien tergolong kelompok berisiko tinggi."
"71","Pneumonia (Paru-Paru Basah)","Pengobatan","Penanganan pneumonia yang tepat itu seperti apa?","Pengobatan pneumonia bakteri menggunakan antibiotik (seperti amoksisilin, azitromisin, atau sefalosporin) sesuai resep dokter. Pneumonia virus tidak merespons antibiotik. Penanganan suportif meliputi istirahat, banyak minum, dan obat pereda demam. Rawat inap diperlukan jika sesak napas berat, saturasi oksigen rendah, atau pasien tergolong kelompok berisiko tinggi."
"72","Pneumonia (Paru-Paru Basah)","Pengobatan","Kapan penderita pneumonia harus dirawat di rumah sakit?","Pengobatan pneumonia bakteri menggunakan antibiotik (seperti amoksisilin, azitromisin, atau sefalosporin) sesuai resep dokter. Pneumonia virus tidak merespons antibiotik. Penanganan suportif meliputi istirahat, banyak minum, dan obat pereda demam. Rawat inap diperlukan jika sesak napas berat, saturasi oksigen rendah, atau pasien tergolong kelompok berisiko tinggi."
"73","TBC (Tuberkulosis)","Gejala","Apa saja gejala penyakit TBC atau tuberkulosis?","Gejala TBC meliputi batuk terus-menerus lebih dari 2 minggu (dapat berdahak atau berdarah), demam ringan terutama di sore hari, berkeringat di malam hari, berat badan turun drastis tanpa sebab jelas, kelelahan kronis, nyeri dada, dan sesak napas. Gejala ini seringkali berkembang perlahan selama beberapa minggu hingga bulan."
